,accuracy,precision,recall,f1,roc_auc
XGBoost,0.7437899219304471,0.5111876075731497,0.7941176470588235,0.6219895287958115,0.8455720891782273
Logistic Regression,0.7409510290986515,0.5076660988074957,0.7967914438502673,0.6201873048907388,0.8449327029889689
Random Forest,0.7665010645848119,0.5428571428571428,0.7620320855614974,0.6340378197997776,0.8436022630396032
Logistic Regression + SMOTE,0.7409510290986515,0.5076660988074957,0.7967914438502673,0.6201873048907388,0.8433568420780697
